name,code,programs
Centro Interdisciplinario de Ciencias de la Salud  Unidad Milpa Alta,CICSMA,"[605970a018f10c2e74b7bdd8,605970a018f10c2e74b7bdd8,605970a018f10c2e74b7bddc,605970a018f10c2e74b7bdde,605970a018f10c2e74b7bddf,605970a018f10c2e74b7bde1]"
Centro Interdisciplinario de Ciencias de la Salud  Unidad Santo Tomás,CICSST,"[605970a018f10c2e74b7bdd9,605970a018f10c2e74b7bdda,605970a018f10c2e74b7bdde]"
Escuela Nacional de Biblioteconomía y Archivonomía,ENBA ,"[605970a018f10c2e74b7bde7,605970a018f10c2e74b7bde8]"
Escuela Nacional De Ciencias Biológicas,ENCB ,"[,605970a018f10c2e74b7bdaf,605970a018f10c2e74b7bdbe,605970a018f10c2e74b7bddb,605970a018f10c2e74b7bde2,605970a018f10c2e74b7bde3]"
Escuela Nacional de Medicina y Homeopatía,ENMyH ,"[605970a018f10c2e74b7bde0,605970a018f10c2e74b7bde1]"
Escuela Superior de Comercio y Administración Unidad Santo Tomás,ESCAST,"[605970a018f10c2e74b7bde4,605970a018f10c2e74b7bde6,605970a018f10c2e74b7bdf3,605970a018f10c2e74b7bdea,605970a018f10c2e74b7bdeb,605970a018f10c2e74b7bdec]"
Escuela Superior de Comercio y Administración Unidad Tepepan,ESCAUT,"[605970a018f10c2e74b7bde4,605970a018f10c2e74b7bdeb,605970a018f10c2e74b7bdec]"
Escuela Superior de Cómputo ,ESCOM ,"[605970a018f10c2e74b7bdb9,605970a018f10c2e74b7bdc0,605aa41d7dfacb3c9d4299e7]"
Escuela Superior de Economía,ESE ,[605970a018f10c2e74b7bde9]
Escuela Superior de Enfermería y Obstetricia,ESEO ,"[605970a018f10c2e74b7bddc,605970a018f10c2e74b7bddd]"
Escuela Superior de Física y Matemáticas ,ESFM ,"[605970a018f10c2e74b7bdc9,605970a018f10c2e74b7bdd6,605970a018f10c2e74b7bdd7]"
Escuela Superior de Ingeniería Mecánica y Eléctrica  Unidad Culhuacán,ESIMEC,"[605970a018f10c2e74b7bdb4,605970a018f10c2e74b7bdb5,605970a018f10c2e74b7bdca,605aa41d7dfacb3c9d4299e7]"
Escuela Superior de Ingeniería Mecánica y Eléctrica  Unidad Ticomán,ESIMET,"[605970a018f10c2e74b7bdab,605aa41d7dfacb3c9d4299e7]"
Escuela Superior de Ingeniería Mecánica y Eléctrica  Unidad Azcapotzalco,ESIMEA,"[605970a018f10c2e74b7bdbd,605970a018f10c2e74b7bdca,605aa41d7dfacb3c9d4299e7]"
Escuela Superior de Ingeniería Mecánica y Eléctrica  Unidad Zacatenco,ESIMEZ,"[605970a018f10c2e74b7bdb2,605970a018f10c2e74b7bdb5,605970a018f10c2e74b7bdb6,605970a018f10c2e74b7bdbc,605970a018f10c2e74b7bdc1,605970a018f10c2e74b7bdc5,605aa41d7dfacb3c9d4299e7]"
Escuela Superior de Ingeniería Química e Industrias Extractivas,ESIQIE ,"[605970a018f10c2e74b7bdba,605970a018f10c2e74b7bdce,605970a018f10c2e74b7bdcf]"
Escuela Superior de Ingeniería Textil,ESIT ,[605970a018f10c2e74b7bdd1]
Escuela Superior de Ingeniería y Arquitectura  Unidad Ticomán,ESIAT,"[605970a018f10c2e74b7bdc6,605970a018f10c2e74b7bdc7,605970a018f10c2e74b7bdcd,605970a018f10c2e74b7bdd2]"
Escuela Superior de Ingeniería y Arquitectura  Unidad Zacatenco,ESIAZ,[605970a018f10c2e74b7bdb1]
Escuela Superior de Ingeniería y Arquitectura  Unidad Tecamachalco,ESIATe,[605970a018f10c2e74b7bdd3]
Escuela Superior de Medicina,ESM ,[605970a018f10c2e74b7bde1]
Escuela Superior de Turismo,EST ,[605970a018f10c2e74b7bded]
Uni​dad Profesional Interdisciplinaria de Ingeniería C Campus Coahuila,UPIIC,"[605970a018f10c2e74b7bdb6,605970a018f10c2e74b7bdb9,605970a018f10c2e74b7bdd4]"
Unidad Profesional Interdisciplinaria de Biotecnología,UPIBI,"[605970a018f10c2e74b7bdac,605970a018f10c2e74b7bdad,605970a018f10c2e74b7bdb0,605970a018f10c2e74b7bdb3,605970a018f10c2e74b7bdc3]"
Uni​dad Profesional Interdisciplinaria de Ingeniería Campus Guanajuato,UPIIG,"[605970a018f10c2e74b7bdab,605970a018f10c2e74b7bdb0,605970a018f10c2e74b7bdc3,605970a018f10c2e74b7bdc8,605aa41d7dfacb3c9d4299e7]"
Uni​dad Profesional Interdisciplinaria de Ingeniería Campus Zacatecas,UPIIZ,"[605970a018f10c2e74b7bdac,605970a018f10c2e74b7bdb3,605970a018f10c2e74b7bdcb,605970a018f10c2e74b7bdcc]"
Uni​dad Profesional Interdisciplinaria de Ingeniería Campus Hidalgo,UPIIH,"[605970a018f10c2e74b7bdcb,605aa41d7dfacb3c9d4299e7]"
Uni​dad Profesional Interdisciplinaria de Ingeniería Campus Palenque,UPIIP,"[605970a018f10c2e74b7bdb0,605970a018f10c2e74b7bdb1,605970a018f10c2e74b7bdc4,605970a018f10c2e74b7bdee]"
Uni​dad Profesional Interdisciplinaria de Ingeniería Campus Tlaxcala,UPIIT,"[605970a018f10c2e74b7bdb0,605970a018f10c2e74b7bdb9,605970a018f10c2e74b7bdc2,605970a018f10c2e74b7bdd4,605aa41d7dfacb3c9d4299e7]"
Unidad Profesional Interdisciplinaria de Ingeniería y Ciencias Sociales y Administrativas.,UPIICSA,"[605970a018f10c2e74b7bdb8,605970a018f10c2e74b7bdc2,605970a018f10c2e74b7bdc8,605970a018f10c2e74b7bdd5,605970a018f10c2e74b7bde5]"
Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas,UPIITA,"[605970a018f10c2e74b7bdae,605970a018f10c2e74b7bdcb,605970a018f10c2e74b7bdd0]"
Unidad Profesional Interdisciplinaria de Energía y Movilidad,UPIEM,"[605970a018f10c2e74b7bdb7,605970a018f10c2e74b7bdbb,605970a018f10c2e74b7bdbc,605970a018f10c2e74b7bdc1]"
